participantID,trialNumber,stimulus,sampleOrder,sampleTime,comparisonTime,condition,template
1,1,4.0,right,10000,20000,H,1.0
1,2,33.0,right,10000,20000,H,4.0
1,3,36.0,left,10000,20000,H,4.0
1,4,9.0,right,10000,20000,H,1.0
1,5,13.0,right,10000,20000,H,2.0
1,6,24.0,left,10000,20000,H,3.0
1,7,,left,10000,20000,V,
1,8,,left,10000,20000,V,
1,9,,right,10000,20000,V,
1,10,,left,10000,20000,V,
1,11,,left,10000,20000,V,
1,12,,left,10000,20000,V,
1,13,,left,10000,20000,VH,
1,14,,left,10000,20000,VH,
1,15,,right,10000,20000,VH,
1,16,,left,10000,20000,VH,
1,17,,right,10000,20000,VH,
1,18,,left,10000,20000,VH,
1,19,17.0,left,10000,20000,H,2.0
1,20,19.0,left,10000,20000,H,3.0
1,21,29.0,left,10000,20000,H,4.0
1,22,5.0,right,10000,20000,H,1.0
1,23,34.0,right,10000,20000,H,4.0
1,24,8.0,left,10000,20000,H,1.0
1,25,,right,10000,20000,VH,
1,26,,right,10000,20000,VH,
1,27,,right,10000,20000,VH,
1,28,,left,10000,20000,VH,
1,29,,right,10000,20000,VH,
1,30,,right,10000,20000,VH,
1,31,,right,10000,20000,V,
1,32,,right,10000,20000,V,
1,33,,left,10000,20000,V,
1,34,,right,10000,20000,V,
1,35,,left,10000,20000,V,
1,36,,left,10000,20000,V,
1,37,,left,10000,20000,V,
1,38,,right,10000,20000,V,
1,39,,left,10000,20000,V,
1,40,,right,10000,20000,V,
1,41,,right,10000,20000,V,
1,42,,left,10000,20000,V,
1,43,14.0,right,10000,20000,H,2.0
1,44,2.0,left,10000,20000,H,1.0
1,45,22.0,left,10000,20000,H,3.0
1,46,35.0,right,10000,20000,H,4.0
1,47,18.0,left,10000,20000,H,2.0
1,48,31.0,right,10000,20000,H,4.0
1,49,,right,10000,20000,VH,
1,50,,left,10000,20000,VH,
1,51,,right,10000,20000,VH,
1,52,,left,10000,20000,VH,
1,53,,left,10000,20000,VH,
1,54,,left,10000,20000,VH,
1,55,,right,10000,20000,VH,
1,56,,right,10000,20000,VH,
1,57,,right,10000,20000,VH,
1,58,,left,10000,20000,VH,
1,59,,right,10000,20000,VH,
1,60,,left,10000,20000,VH,
1,61,,right,10000,20000,V,
1,62,,right,10000,20000,V,
1,63,,left,10000,20000,V,
1,64,,right,10000,20000,V,
1,65,,right,10000,20000,V,
1,66,,left,10000,20000,V,
1,67,6.0,left,10000,20000,H,1.0
