participantID,trialNumber,stimulus,sampleOrder,sampleTime,comparisonTime,condition,template
1,1,69.0,right,10000,20000,H,8.0
1,2,54.0,right,10000,20000,H,6.0
1,3,62.0,left,10000,20000,H,7.0
1,4,71.0,right,10000,20000,H,8.0
1,5,45.0,right,10000,20000,H,5.0
1,6,43.0,left,10000,20000,H,5.0
1,7,22.0,left,10000,20000,V,3.0
1,8,14.0,left,10000,20000,V,2.0
1,9,24.0,right,10000,20000,V,3.0
1,10,10.0,left,10000,20000,V,2.0
1,11,32.0,left,10000,20000,V,4.0
1,12,17.0,left,10000,20000,V,2.0
1,13,77.0,left,10000,20000,VH,9.0
1,14,79.0,left,10000,20000,VH,9.0
1,15,88.0,right,10000,20000,VH,10.0
1,16,84.0,left,10000,20000,VH,10.0
1,17,74.0,right,10000,20000,VH,9.0
1,18,87.0,left,10000,20000,VH,10.0
1,19,67.0,left,10000,20000,H,8.0
1,20,52.0,left,10000,20000,H,6.0
1,21,56.0,left,10000,20000,H,7.0
1,22,40.0,right,10000,20000,H,5.0
1,23,41.0,right,10000,20000,H,5.0
1,24,70.0,left,10000,20000,H,8.0
1,25,90.0,right,10000,20000,VH,10.0
1,26,85.0,right,10000,20000,VH,10.0
1,27,91.0,right,10000,20000,VH,11.0
1,28,80.0,left,10000,20000,VH,9.0
1,29,89.0,right,10000,20000,VH,10.0
1,30,96.0,right,10000,20000,VH,11.0
1,31,18.0,right,10000,20000,V,2.0
1,32,35.0,right,10000,20000,V,4.0
1,33,2.0,left,10000,20000,V,1.0
1,34,9.0,right,10000,20000,V,1.0
1,35,6.0,left,10000,20000,V,1.0
1,36,13.0,left,10000,20000,V,2.0
1,37,21.0,left,10000,20000,V,3.0
1,38,5.0,right,10000,20000,V,1.0
1,39,33.0,left,10000,20000,V,4.0
1,40,23.0,right,10000,20000,V,3.0
1,41,34.0,right,10000,20000,V,4.0
1,42,8.0,left,10000,20000,V,1.0
1,43,47.0,right,10000,20000,H,6.0
