participantID,trialNumber,stimulus,sampleOrder,sampleTime,comparisonTime,condition,template
30,70,68,right,10000,20000,V,8
17,28,26,left,10000,20000,H,3
2,74,61,left,10000,20000,V,7
24,74,38,left,10000,20000,H,5
8,87,31,right,10000,20000,H,4
22,42,75,right,10000,20000,VH,9
16,89,20,left,10000,20000,V,3
26,36,23,left,10000,20000,V,3
26,30,91,right,10000,20000,H,11
18,13,43,right,10000,20000,H,5
23,10,17,right,10000,20000,H,2
17,77,55,left,10000,20000,V,7
4,64,49,right,10000,20000,H,6
23,7,57,right,10000,20000,H,7
22,78,7,left,10000,20000,V,1
9,29,38,left,10000,20000,H,5
14,21,51,right,10000,20000,VH,6
22,23,31,left,10000,20000,H,4
30,46,45,right,10000,20000,H,5
27,62,25,left,10000,20000,VH,3
1,108,24,right,10000,20000,V,3
26,45,7,right,10000,20000,V,1
29,83,91,left,10000,20000,VH,11
5,61,40,right,10000,20000,VH,5
12,4,72,left,10000,20000,VH,8
23,41,58,left,10000,20000,VH,7
27,85,76,right,10000,20000,VH,9
11,38,15,left,10000,20000,H,2
18,39,53,left,10000,20000,V,6
16,78,12,left,10000,20000,VH,2
11,20,101,left,10000,20000,V,12
18,8,33,left,10000,20000,V,4
27,68,72,right,10000,20000,V,8
12,105,69,right,10000,20000,H,8
12,108,93,right,10000,20000,H,11
11,46,69,left,10000,20000,VH,8
1,63,7,left,10000,20000,V,1
21,7,17,left,10000,20000,V,2
29,88,35,right,10000,20000,V,4
28,61,27,left,10000,20000,H,3
29,107,72,left,10000,20000,V,8
2,72,76,left,10000,20000,V,9
4,55,91,left,10000,20000,V,11
23,12,3,left,10000,20000,H,1
8,77,100,right,10000,20000,V,12
29,36,47,right,10000,20000,H,6
7,25,50,left,10000,20000,H,6
20,47,8,left,10000,20000,H,1
2,104,55,right,10000,20000,H,7
12,20,63,right,10000,20000,V,7
1,21,50,left,10000,20000,H,6
4,1,96,left,10000,20000,V,11
27,12,82,right,10000,20000,H,10
6,55,104,right,10000,20000,VH,12
18,103,74,left,10000,20000,H,9
23,86,89,left,10000,20000,VH,10
4,45,3,right,10000,20000,VH,1
24,89,45,right,10000,20000,V,5
26,78,31,right,10000,20000,V,4
11,7,31,right,10000,20000,V,4
15,7,76,right,10000,20000,V,9
9,56,80,left,10000,20000,V,9
24,52,32,right,10000,20000,H,4
14,64,3,right,10000,20000,V,1
29,31,59,right,10000,20000,H,7
30,66,47,left,10000,20000,H,6
8,38,17,right,10000,20000,V,2
21,96,67,right,10000,20000,VH,8
10,22,55,left,10000,20000,V,7
13,57,16,left,10000,20000,VH,2
18,25,13,left,10000,20000,V,2
18,45,10,right,10000,20000,H,2
15,2,71,right,10000,20000,VH,8
27,67,96,right,10000,20000,V,11
30,107,3,right,10000,20000,V,1
4,37,73,left,10000,20000,H,9
4,75,33,left,10000,20000,VH,4
14,101,18,right,10000,20000,V,2
21,82,63,right,10000,20000,VH,7
9,76,45,right,10000,20000,VH,5
27,45,23,right,10000,20000,H,3
26,2,59,left,10000,20000,H,7
14,73,97,left,10000,20000,VH,11
7,81,18,left,10000,20000,V,2
27,10,98,right,10000,20000,H,11
21,8,33,left,10000,20000,V,4
16,23,100,right,10000,20000,V,12
5,19,84,left,10000,20000,V,10
24,54,102,left,10000,20000,H,12
27,77,61,right,10000,20000,H,7
30,73,74,right,10000,20000,VH,9
2,81,18,left,10000,20000,VH,2
10,71,8,left,10000,20000,H,1
25,100,17,left,10000,20000,H,2
16,39,61,right,10000,20000,V,7
3,70,10,right,10000,20000,VH,2
28,43,107,right,10000,20000,V,12
29,3,6,left,10000,20000,V,1
16,43,41,right,10000,20000,VH,5
23,35,37,left,10000,20000,V,5
4,85,51,right,10000,20000,H,6
4,49,96,left,10000,20000,V,11
22,55,84,left,10000,20000,H,10
18,29,38,right,10000,20000,V,5
16,49,80,right,10000,20000,H,9
6,92,21,right,10000,20000,V,3
5,13,2,left,10000,20000,H,1
5,7,61,right,10000,20000,VH,7
29,84,62,right,10000,20000,VH,7
23,37,36,right,10000,20000,VH,4
23,99,47,right,10000,20000,VH,6
18,23,56,left,10000,20000,H,7
30,82,55,right,10000,20000,V,7
17,67,75,right,10000,20000,VH,9
10,104,65,left,10000,20000,V,8
3,19,104,left,10000,20000,V,12
10,39,76,left,10000,20000,VH,9
15,29,41,right,10000,20000,VH,5
13,5,20,right,10000,20000,VH,3
27,84,11,left,10000,20000,V,2
23,71,51,left,10000,20000,V,6
5,103,86,right,10000,20000,H,10
29,99,58,left,10000,20000,VH,7
6,19,38,right,10000,20000,VH,5
15,75,95,left,10000,20000,H,11
16,80,80,left,10000,20000,H,9
18,47,12,right,10000,20000,H,2
24,86,2,right,10000,20000,V,1
20,97,102,right,10000,20000,H,12
22,70,16,left,10000,20000,VH,2
23,29,41,left,10000,20000,VH,5
24,6,76,right,10000,20000,H,9
26,39,31,left,10000,20000,VH,4
12,28,28,right,10000,20000,H,4
3,77,20,left,10000,20000,H,3
30,49,2,left,10000,20000,VH,1
10,95,53,left,10000,20000,H,6
23,9,1,left,10000,20000,H,1
20,87,87,right,10000,20000,H,10
24,29,22,right,10000,20000,VH,3
20,90,59,left,10000,20000,H,7
14,41,27,right,10000,20000,V,3
11,11,15,left,10000,20000,V,2
4,90,95,left,10000,20000,H,11
3,82,11,right,10000,20000,V,2
11,95,50,left,10000,20000,H,6
4,53,45,right,10000,20000,V,5
3,39,64,left,10000,20000,H,8
28,51,69,left,10000,20000,H,8
