participantID,trialNumber,sampleNumber,sampleOrder,sampleTime,comparisonTime,condition
1,1,,right,10000,20000,H
1,2,,right,10000,20000,H
1,3,,left,10000,20000,H
1,4,,right,10000,20000,H
1,5,,left,10000,20000,H
1,6,,right,10000,20000,V
1,7,,right,10000,20000,V
1,8,,right,10000,20000,V
1,9,,left,10000,20000,V
1,10,,left,10000,20000,V
1,11,,left,10000,20000,VH
1,12,,right,10000,20000,VH
1,13,,right,10000,20000,VH
1,14,,left,10000,20000,VH
1,15,,right,10000,20000,VH
1,16,,right,10000,20000,V
1,17,,left,10000,20000,V
1,18,,left,10000,20000,V
1,19,,right,10000,20000,V
1,20,,left,10000,20000,V
1,21,,right,10000,20000,H
1,22,,right,10000,20000,H
1,23,,left,10000,20000,H
1,24,,right,10000,20000,H
1,25,,right,10000,20000,H
1,26,,right,10000,20000,VH
1,27,,left,10000,20000,VH
1,28,,left,10000,20000,VH
1,29,,right,10000,20000,VH
1,30,,left,10000,20000,VH
1,31,,left,10000,20000,H
1,32,,left,10000,20000,H
1,33,,right,10000,20000,H
1,34,,left,10000,20000,H
1,35,,right,10000,20000,H
1,36,,right,10000,20000,VH
1,37,,left,10000,20000,VH
1,38,,right,10000,20000,VH
1,39,,right,10000,20000,VH
1,40,,left,10000,20000,VH
1,41,,right,10000,20000,V
1,42,,right,10000,20000,V
1,43,,right,10000,20000,V
1,44,,right,10000,20000,V
1,45,,left,10000,20000,V
1,46,,right,10000,20000,H
1,47,,right,10000,20000,H
1,48,,left,10000,20000,H
1,49,,right,10000,20000,H
1,50,,left,10000,20000,H
1,51,,right,10000,20000,V
1,52,,left,10000,20000,V
1,53,,left,10000,20000,V
1,54,,right,10000,20000,V
1,55,,left,10000,20000,V
1,56,,right,10000,20000,VH
1,57,,left,10000,20000,VH
1,58,,right,10000,20000,VH
1,59,,right,10000,20000,VH
1,60,,left,10000,20000,VH
1,61,,left,10000,20000,V
1,62,,right,10000,20000,V
1,63,,right,10000,20000,V
1,64,,right,10000,20000,V
1,65,,left,10000,20000,V
1,66,,left,10000,20000,H
1,67,,left,10000,20000,H
1,68,,left,10000,20000,H
1,69,,right,10000,20000,H
1,70,,left,10000,20000,H
1,71,,left,10000,20000,VH
1,72,,left,10000,20000,VH
1,73,,right,10000,20000,VH
1,74,,left,10000,20000,VH
1,75,,left,10000,20000,VH
1,76,,left,10000,20000,V
1,77,,left,10000,20000,V
1,78,,left,10000,20000,V
1,79,,left,10000,20000,V
1,80,,right,10000,20000,V
1,81,,right,10000,20000,H
1,82,,left,10000,20000,H
1,83,,left,10000,20000,H
1,84,,left,10000,20000,H
1,85,,right,10000,20000,H
1,86,,right,10000,20000,VH
1,87,,right,10000,20000,VH
1,88,,left,10000,20000,VH
1,89,,right,10000,20000,VH
1,90,,left,10000,20000,VH
2,1,,right,10000,20000,V
2,2,,right,10000,20000,V
2,3,,left,10000,20000,V
2,4,,left,10000,20000,V
2,5,,right,10000,20000,V
2,6,,left,10000,20000,H
2,7,,right,10000,20000,H
2,8,,right,10000,20000,H
2,9,,right,10000,20000,H
2,10,,left,10000,20000,H
2,11,,left,10000,20000,VH
2,12,,left,10000,20000,VH
2,13,,left,10000,20000,VH
2,14,,left,10000,20000,VH
2,15,,left,10000,20000,VH
2,16,,right,10000,20000,H
2,17,,left,10000,20000,H
2,18,,right,10000,20000,H
2,19,,left,10000,20000,H
2,20,,right,10000,20000,H
2,21,,right,10000,20000,VH
2,22,,right,10000,20000,VH
2,23,,right,10000,20000,VH
2,24,,right,10000,20000,VH
2,25,,right,10000,20000,VH
2,26,,right,10000,20000,V
2,27,,left,10000,20000,V
2,28,,left,10000,20000,V
2,29,,right,10000,20000,V
2,30,,right,10000,20000,V
2,31,,left,10000,20000,V
2,32,,right,10000,20000,V
2,33,,right,10000,20000,V
2,34,,right,10000,20000,V
2,35,,right,10000,20000,V
2,36,,right,10000,20000,VH
2,37,,left,10000,20000,VH
2,38,,right,10000,20000,VH
2,39,,left,10000,20000,VH
2,40,,right,10000,20000,VH
2,41,,left,10000,20000,H
2,42,,left,10000,20000,H
2,43,,left,10000,20000,H
2,44,,left,10000,20000,H
2,45,,right,10000,20000,H
2,46,,right,10000,20000,VH
2,47,,right,10000,20000,VH
2,48,,right,10000,20000,VH
2,49,,left,10000,20000,VH
2,50,,left,10000,20000,VH
2,51,,left,10000,20000,V
2,52,,left,10000,20000,V
2,53,,left,10000,20000,V
2,54,,left,10000,20000,V
2,55,,right,10000,20000,V
2,56,,right,10000,20000,H
2,57,,right,10000,20000,H
2,58,,left,10000,20000,H
2,59,,right,10000,20000,H
2,60,,left,10000,20000,H
2,61,,left,10000,20000,V
2,62,,left,10000,20000,V
2,63,,left,10000,20000,V
2,64,,left,10000,20000,V
2,65,,right,10000,20000,V
2,66,,left,10000,20000,VH
2,67,,left,10000,20000,VH
2,68,,left,10000,20000,VH
2,69,,left,10000,20000,VH
2,70,,right,10000,20000,VH
2,71,,left,10000,20000,H
2,72,,left,10000,20000,H
2,73,,right,10000,20000,H
2,74,,right,10000,20000,H
2,75,,left,10000,20000,H
2,76,,left,10000,20000,V
2,77,,right,10000,20000,V
2,78,,left,10000,20000,V
2,79,,right,10000,20000,V
2,80,,right,10000,20000,V
2,81,,left,10000,20000,H
2,82,,right,10000,20000,H
2,83,,right,10000,20000,H
2,84,,left,10000,20000,H
2,85,,right,10000,20000,H
2,86,,left,10000,20000,VH
2,87,,left,10000,20000,VH
2,88,,right,10000,20000,VH
2,89,,right,10000,20000,VH
2,90,,right,10000,20000,VH
3,1,,left,10000,20000,VH
3,2,,left,10000,20000,VH
3,3,,right,10000,20000,VH
3,4,,right,10000,20000,VH
3,5,,right,10000,20000,VH
3,6,,right,10000,20000,H
