template,stimulus
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,18
3,19
3,20
3,21
3,22
3,23
3,24
3,25
3,26
3,27
4,28
4,29
4,30
4,31
4,32
4,33
4,34
4,35
4,36
5,37
5,38
5,39
5,40
5,41
5,42
5,43
5,44
5,45
6,46
6,47
6,48
6,49
6,50
6,51
6,52
6,53
6,54
7,55
7,56
7,57
7,58
7,59
7,60
7,61
7,62
7,63
8,64
8,65
8,66
8,67
8,68
8,69
8,70
8,71
8,72
9,73
9,74
9,75
9,76
9,77
9,78
9,79
9,80
9,81
10,82
10,83
10,84
10,85
10,86
10,87
10,88
10,89
10,90
11,91
11,92
11,93
11,94
11,95
11,96
11,97
11,98
11,99
12,100
12,101
12,102
12,103
12,104
12,105
12,106
12,107
12,108
