participantID,trialNumber,sampleNumber,sampleOrder,sampleTime,comparisonTime,condition
1,1,2.0,right,10000,20000,H
1,2,65.0,right,10000,20000,H
1,3,32.0,left,10000,20000,H
1,4,35.0,right,10000,20000,H
1,5,83.0,left,10000,20000,H
1,6,67.0,right,10000,20000,V
1,7,1.0,right,10000,20000,V
1,8,25.0,right,10000,20000,V
1,9,16.0,left,10000,20000,V
1,10,34.0,left,10000,20000,V
1,11,12.0,left,10000,20000,VH
1,12,54.0,right,10000,20000,VH
1,13,15.0,right,10000,20000,VH
1,14,27.0,left,10000,20000,VH
1,15,69.0,right,10000,20000,VH
1,16,19.0,right,10000,20000,V
1,17,4.0,left,10000,20000,V
1,18,79.0,left,10000,20000,V
1,19,58.0,right,10000,20000,V
1,20,31.0,left,10000,20000,V
1,21,56.0,right,10000,20000,H
1,22,77.0,right,10000,20000,H
1,23,44.0,left,10000,20000,H
1,24,50.0,right,10000,20000,H
1,25,53.0,right,10000,20000,H
1,26,90.0,right,10000,20000,VH
1,27,21.0,left,10000,20000,VH
1,28,75.0,left,10000,20000,VH
1,29,42.0,right,10000,20000,VH
1,30,84.0,left,10000,20000,VH
1,31,80.0,left,10000,20000,H
1,32,5.0,left,10000,20000,H
1,33,26.0,right,10000,20000,H
1,34,23.0,left,10000,20000,H
1,35,68.0,right,10000,20000,H
1,36,36.0,right,10000,20000,VH
1,37,60.0,left,10000,20000,VH
1,38,81.0,right,10000,20000,VH
1,39,87.0,right,10000,20000,VH
1,40,66.0,left,10000,20000,VH
1,41,37.0,right,10000,20000,V
1,42,64.0,right,10000,20000,V
1,43,82.0,right,10000,20000,V
1,44,70.0,right,10000,20000,V
1,45,61.0,left,10000,20000,V
1,46,29.0,right,10000,20000,H
1,47,71.0,right,10000,20000,H
1,48,59.0,left,10000,20000,H
1,49,14.0,right,10000,20000,H
1,50,38.0,left,10000,20000,H
1,51,40.0,right,10000,20000,V
1,52,73.0,left,10000,20000,V
1,53,52.0,left,10000,20000,V
1,54,13.0,right,10000,20000,V
1,55,88.0,left,10000,20000,V
1,56,24.0,right,10000,20000,VH
1,57,9.0,left,10000,20000,VH
1,58,51.0,right,10000,20000,VH
1,59,33.0,right,10000,20000,VH
1,60,45.0,left,10000,20000,VH
1,61,28.0,left,10000,20000,V
1,62,49.0,right,10000,20000,V
1,63,46.0,right,10000,20000,V
1,64,43.0,right,10000,20000,V
1,65,55.0,left,10000,20000,V
1,66,11.0,left,10000,20000,H
1,67,20.0,left,10000,20000,H
1,68,62.0,left,10000,20000,H
1,69,8.0,right,10000,20000,H
1,70,86.0,left,10000,20000,H
1,71,78.0,left,10000,20000,VH
1,72,3.0,left,10000,20000,VH
1,73,48.0,right,10000,20000,VH
1,74,6.0,left,10000,20000,VH
1,75,39.0,left,10000,20000,VH
1,76,7.0,left,10000,20000,V
1,77,10.0,left,10000,20000,V
1,78,76.0,left,10000,20000,V
1,79,85.0,left,10000,20000,V
1,80,22.0,right,10000,20000,V
1,81,74.0,right,10000,20000,H
1,82,47.0,left,10000,20000,H
1,83,17.0,left,10000,20000,H
1,84,89.0,left,10000,20000,H
1,85,41.0,right,10000,20000,H
1,86,63.0,right,10000,20000,VH
1,87,30.0,right,10000,20000,VH
1,88,57.0,left,10000,20000,VH
1,89,72.0,right,10000,20000,VH
1,90,18.0,left,10000,20000,VH
2,1,30.0,right,10000,20000,V
2,2,87.0,right,10000,20000,V
2,3,36.0,left,10000,20000,V
2,4,69.0,left,10000,20000,V
2,5,12.0,right,10000,20000,V
2,6,28.0,left,10000,20000,H
2,7,73.0,right,10000,20000,H
2,8,55.0,right,10000,20000,H
2,9,10.0,right,10000,20000,H
2,10,79.0,left,10000,20000,H
2,11,62.0,left,10000,20000,VH
2,12,23.0,left,10000,20000,VH
2,13,77.0,left,10000,20000,VH
2,14,41.0,left,10000,20000,VH
2,15,14.0,left,10000,20000,VH
2,16,58.0,right,10000,20000,H
2,17,1.0,left,10000,20000,H
2,18,7.0,right,10000,20000,H
2,19,25.0,left,10000,20000,H
2,20,46.0,right,10000,20000,H
2,21,20.0,right,10000,20000,VH
2,22,38.0,right,10000,20000,VH
2,23,59.0,right,10000,20000,VH
2,24,80.0,right,10000,20000,VH
2,25,35.0,right,10000,20000,VH
2,26,24.0,right,10000,20000,V
2,27,45.0,left,10000,20000,V
2,28,54.0,left,10000,20000,V
2,29,27.0,right,10000,20000,V
2,30,18.0,right,10000,20000,V
2,31,21.0,left,10000,20000,V
2,32,75.0,right,10000,20000,V
