participantID,trialNumber,sampleNumber,sampleOrder,sampleTime,comparisonTime,condition
1,1,56.0,left,15000,25000,VH
1,2,10.0,right,15000,25000,VH
1,3,64.0,left,15000,25000,VH
1,4,4.0,left,15000,25000,VH
1,5,38.0,right,15000,25000,VH
1,6,70.0,left,15000,25000,VH
1,7,68.0,left,15000,25000,VH
1,8,44.0,right,15000,25000,VH
1,9,41.0,left,15000,25000,V
1,10,75.0,right,15000,25000,V
1,11,53.0,right,15000,25000,V
1,12,61.0,left,15000,25000,V
1,13,31.0,right,15000,25000,V
1,14,77.0,right,15000,25000,V
1,15,83.0,left,15000,25000,V
1,16,11.0,left,15000,25000,V
1,17,1.0,right,15000,25000,V
1,18,67.0,right,15000,25000,V
1,19,49.0,left,15000,25000,V
1,20,45.0,left,15000,25000,V
1,21,89.0,right,15000,25000,V
1,22,95.0,left,15000,25000,V
1,23,43.0,left,15000,25000,V
1,24,79.0,right,15000,25000,V
1,25,84.0,left,15000,25000,VH
1,26,94.0,left,15000,25000,VH
1,27,26.0,right,15000,25000,VH
1,28,42.0,left,15000,25000,VH
1,29,16.0,right,15000,25000,VH
1,30,22.0,right,15000,25000,VH
1,31,50.0,left,15000,25000,VH
1,32,32.0,right,15000,25000,VH
1,33,40.0,right,15000,25000,VH
1,34,90.0,left,15000,25000,VH
1,35,62.0,right,15000,25000,VH
1,36,18.0,right,15000,25000,VH
1,37,34.0,left,15000,25000,VH
1,38,2.0,right,15000,25000,VH
1,39,58.0,left,15000,25000,VH
1,40,86.0,left,15000,25000,VH
1,41,23.0,right,15000,25000,V
1,42,87.0,right,15000,25000,V
1,43,9.0,left,15000,25000,V
1,44,19.0,right,15000,25000,V
1,45,69.0,left,15000,25000,V
1,46,35.0,left,15000,25000,V
1,47,3.0,right,15000,25000,V
1,48,59.0,right,15000,25000,V
1,49,8.0,left,15000,25000,VH
1,50,12.0,right,15000,25000,VH
1,51,52.0,right,15000,25000,VH
1,52,88.0,left,15000,25000,VH
1,53,92.0,right,15000,25000,VH
1,54,66.0,right,15000,25000,VH
1,55,96.0,left,15000,25000,VH
1,56,82.0,right,15000,25000,VH
1,57,29.0,left,15000,25000,V
1,58,39.0,left,15000,25000,V
1,59,91.0,right,15000,25000,V
1,60,47.0,right,15000,25000,V
1,61,71.0,left,15000,25000,V
1,62,93.0,right,15000,25000,V
1,63,17.0,left,15000,25000,V
1,64,21.0,left,15000,25000,V
1,65,5.0,right,15000,25000,V
1,66,55.0,left,15000,25000,V
1,67,15.0,left,15000,25000,V
1,68,25.0,right,15000,25000,V
1,69,33.0,left,15000,25000,V
1,70,51.0,left,15000,25000,V
1,71,27.0,right,15000,25000,V
1,72,63.0,left,15000,25000,V
1,73,72.0,left,15000,25000,VH
1,74,48.0,right,15000,25000,VH
1,75,6.0,left,15000,25000,VH
1,76,80.0,right,15000,25000,VH
1,77,74.0,right,15000,25000,VH
1,78,24.0,left,15000,25000,VH
1,79,76.0,right,15000,25000,VH
1,80,14.0,right,15000,25000,VH
1,81,60.0,left,15000,25000,VH
1,82,46.0,right,15000,25000,VH
1,83,30.0,right,15000,25000,VH
1,84,20.0,left,15000,25000,VH
1,85,54.0,left,15000,25000,VH
1,86,28.0,right,15000,25000,VH
1,87,78.0,right,15000,25000,VH
1,88,36.0,left,15000,25000,VH
1,89,65.0,right,15000,25000,V
1,90,81.0,left,15000,25000,V
1,91,85.0,left,15000,25000,V
1,92,37.0,right,15000,25000,V
1,93,57.0,right,15000,25000,V
1,94,73.0,left,15000,25000,V
1,95,7.0,right,15000,25000,V
1,96,13.0,left,15000,25000,V
2,1,79.0,right,15000,25000,VH
2,2,87.0,left,15000,25000,VH
2,3,9.0,right,15000,25000,VH
